,Areaname,Land Area (sq. mi)
19017,"Bremer, IA",435.48
19019,"Buchanan, IA",571.02
19021,"Buena Vista, IA",574.92
19023,"Butler, IA",580.13
19025,"Calhoun, IA",569.97
19027,"Carroll, IA",569.44
19029,"Cass, IA",564.27
19031,"Cedar, IA",579.44
19033,"Cerro Gordo, IA",568.31
19035,"Cherokee, IA",576.91
19037,"Chickasaw, IA",504.38
19039,"Clarke, IA",431.17
19041,"Clay, IA",567.24
19043,"Clayton, IA",778.54
19045,"Clinton, IA",694.92
19047,"Crawford, IA",714.19
19049,"Dallas, IA",588.45
19051,"Davis, IA",502.19
19053,"Decatur, IA",531.88
19055,"Delaware, IA",577.76
19057,"Des Moines, IA",416.12
19059,"Dickinson, IA",380.61
19061,"Dubuque, IA",608.31
19063,"Emmet, IA",395.88
19065,"Fayette, IA",730.81
19067,"Floyd, IA",500.63
19069,"Franklin, IA",581.97
19071,"Fremont, IA",511.15
19073,"Greene, IA",569.57
19075,"Grundy, IA",501.86
19077,"Guthrie, IA",590.62
19079,"Hamilton, IA",576.75
19081,"Hancock, IA",571.01
19083,"Hardin, IA",569.31
19085,"Harrison, IA",696.85
19087,"Henry, IA",434.33
19089,"Howard, IA",473.25
19091,"Humboldt, IA",434.35
19093,"Ida, IA",431.51
19095,"Iowa, IA",586.46
19097,"Jackson, IA",636.04
19099,"Jasper, IA",730.42
19101,"Jefferson, IA",435.51
19103,"Johnson, IA",614.04
19105,"Jones, IA",575.62
19107,"Keokuk, IA",579.18
19109,"Kossuth, IA",972.72
19111,"Lee, IA",517.52
19113,"Linn, IA",716.88
19115,"Louisa, IA",401.77
19117,"Lucas, IA",430.59
19119,"Lyon, IA",587.65
19121,"Madison, IA",561.01
